연번,상 호,소재지,비고
1,100족발본점,광산구 왕버들로252번길 33 (신창동),건강맛집
2,강의리추어탕,북구 우치로 61 (중흥동),건강맛집
3,강촌,"서구 마륵복개로 152-3, (치평동,(2층))",건강맛집
4,관가,동구 의재로96번길 18 (소태동),건강맛집
5,광후장어,광산구 임방울대로 503(수완동),건강맛집
6,국현옥궁중팥죽,북구 서강로74번길 32 (운암동),건강맛집
7,금수저은수저,광산구 신창로166번길 24 (신창동),대표음식맛집
8,긴자상회,서구 운천로17번길 4-9 (금호동),청춘맛집
9,김가원,서구 상무민주로123번길 13-7 (쌍촌동),게미맛집
10,꽃담,동구 금남로 193-7 (금남로5가),건강맛집
11,낙지마을,서구 상무민주로6번길 36 (쌍촌동),나들이맛집
12,남가정,동구 지호로 137- 7 (지산동),대표음식맛집
13,넓으실,북구 대촌길6번길 20-6 (대촌동),대표음식맛집
14,"다르다김밥,주먹밥","서구 치평로 86 (치평동, 107호,108호)",대표음식맛집
15,다미정,서구 풍암순환로128번길 73 (풍암동),대표음식맛집
16,대광,동구 서석로7번길 5 (불로동),대표음식맛집
17,더셰프,서구 상무대로 1032 (화정동),청춘맛집
18,뜨락쌈밥,남구 화산로 105 (진월동),건강맛집
19,마천루,서구 월드컵4강로 236 (쌍촌동),나들이맛집
20,마한지,동구 문화전당로 39-1 (광산동),나들이맛집
21,맘스쿡,동구 동계천로 143 (동명동),대표음식맛집
22,매월흑염소가든,서구 회재유통길 19-24 (매월동),게미맛집
23,명화식육식당,광산구 평동로 425 (명화동),게미맛집
24,미진,북구 일곡마을로 152 (일곡동),게미맛집
25,민들레,서구 상무평화로 137 (치평동),게미맛집
26,백년미가,서구 유덕로28번길 18 (유촌동),대표음식맛집
27,서울곱창,광산구 송정로15번길 71 (송정동),나들이맛집
28,서울장수국수,광산구 송정로8번길 41 (송정동),게미맛집
29,석암돌솥밥,북구 대천로139번길 16-2 (문흥동),건강맛집
30,송하회관,동구 문화전당로35번길 28-3 (불로동),게미맛집
31,아리랑하우스,동구 무등로321번길 2 (계림동),대표음식맛집
32,알랭,동구 동명로20번길 17-6 (동명동),청춘맛집
33,약수한방삼계탕,북구 북문대로 173 (운암동),건강맛집
34,양산대박 상추튀김,북구 양산로 34 (양산동),대표음식맛집
35,어나더키친,"광산구 임방울대로 353,2층 201호 (수완동)",청춘맛집
36,여간 좋은날,서구 금화로 240 (풍암동),나들이맛집
37,영빈관,"서구 풍암순환로128번길 75, 2층(풍암동)",대표음식맛집
38,예지원,서구 운천로204번길 23 (쌍촌동),대표음식맛집
39,예향계절한정식,"서구 상무평화로 131, 2층 (치평동)",대표음식맛집
40,오얏리돌솥밥,북구 밤실로 178(두암동),건강맛집
41,오카츠,"서구 치평로 112 (치평동,정연하이빌)",청춘맛집
42,옥과한우촌,서구 내방로 39-1 (치평동),나들이맛집
43,옥천면옥,북구 무등로 144 (신안동),게미맛집
44,우미횟집,북구 북문대로33번길 3 (운암동),나들이맛집
45,유진정,서구 운천로31번길 15 (금호동),건강맛집
46,육전명가,"서구 상무자유로 174(치평동,(2층))",대표음식맛집
47,은성,동구 충장로안길 40-1 (황금동),대표음식맛집
48,이씨네푸줏간,서구 풍암운리로41번길 4-6 (풍암동),나들이맛집
49,이태백,광산구 동곡로35번길 6 (본덕동),나들이맛집
50,절기밥상,북구 하서로672번길 45 (용전동),나들이맛집
51,조선옥,남구 효덕로 103 (노대동),대표음식맛집
52,칠우불고기,동구 제봉로 194 (대인동),나들이맛집
53,케이투,북구 용봉로 66 (신안동),청춘맛집
54,테이스팅노트,서구 군분로159번길 13 (화정동),대표음식맛집
55,파인트리,남구 백서로 97-1 (양림동),청춘맛집
56,퍼스트앨리웨이,동구 충장로안길 5-4 (충장로3가),청춘맛집
57,하림가,광산구 삼도가산안길 42 (대산동),건강맛집
58,한백년식당,북구 민주로 164 (운정동),건강맛집
59,한우사랑,남구 효덕로 150 (노대동),나들이맛집
60,해남성내식당,남구 봉선로 21 (주월동),게미맛집
61,해남식당,동구 백서로125번길 29 (금동),게미맛집
62,해동활어,서구 상무대로 653-1 (마륵동),나들이맛집
63,행랑채,북구 일곡마을로 165 (일곡동),나들이맛집
64,현완단검 상추튀김,서구 상무평화로 89 (치평동),대표음식맛집
65,현주네,북구 일곡택지로53번길 55 (일곡동),대표음식맛집
66,홍춘이,북구 무등로180번길 9-18 (신안동),게미맛집
67,효정,북구동운로 231 (운암동),게미맛집
